Year,CITATION,SAMPLE NAME,UNIQUE_ID,LOCATION,ROCK TYPE,AGE (MIN.),AGE (MAX.),SIO2(WT%),TIO2(WT%),AL2O3(WT%),FE2O3(WT%),FEO(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),P2O5,Unnamed: 18,Age_Median,Source
2000, [8017] KOEBERL C. (2000),samp. 810194,,NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / CENTRAL ISUA TECTONIC DOMAIN (GARBENSCHIEFER) / BOUMA SEQUENCE,SEDIMENTARY ROCK,3779000000.0,3780000000.0,60.05,0.36,16.43,,,3.03,4.78,0.24,1.72,0.17,,3779500000.0,Isua
2000, [8017] KOEBERL C. (2000),samp. 810196,,NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / CENTRAL ISUA TECTONIC DOMAIN (GARBENSCHIEFER) / BOUMA SEQUENCE,SEDIMENTARY ROCK,3780000000.0,3780000000.0,56.48,0.45,18.12,,,3.99,4.02,0.22,3.15,0.17,,3780000000.0,Isua
2000, [8017] KOEBERL C. (2000),samp. 810205,,NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / CENTRAL ISUA TECTONIC DOMAIN (GARBENSCHIEFER) / BOUMA SEQUENCE,SEDIMENTARY ROCK,3780000000.0,3780000000.0,52.9,0.24,17.64,,,8.88,3.62,0.29,2.84,0.09,,3780000000.0,Isua
2000, [8017] KOEBERL C. (2000),samp. 810215,164615,NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / CENTRAL ISUA TECTONIC DOMAIN (GARBENSCHIEFER) / BOUMA SEQUENCE,SEDIMENTARY ROCK,3780000000.0,3780000000.0,53.57,0.49,21.49,,,3.45,3.3,0.16,2.93,0.19,,3780000000.0,Isua
2000, [8017] KOEBERL C. (2000),samp. 800494,,NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN / A6 FELSIC FORMATION,SEDIMENTARY ROCK,3810000000.0,3810000000.0,68.4,0.315,11.47,,,4.5,2.2,0.15,5.29,0.18,,3810000000.0,Isua
2000, [8017] KOEBERL C. (2000),samp. 810348,164617,NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN / A6 FELSIC FORMATION,SEDIMENTARY ROCK,3810000000.0,3810000000.0,69.22,0.25,10.3,,,5.23,3.84,0.15,1.86,0.15,,3810000000.0,Isua
2000, [8017] KOEBERL C. (2000),samp. 810436,164618,NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN / A6 FELSIC FORMATION,SEDIMENTARY ROCK,3810000000.0,3810000000.0,76.54,0.15,8.02,,,4.44,2.04,0.13,2.21,0.15,,3810000000.0,Isua
2000, [8017] KOEBERL C. (2000),samp. 810437,164619,NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN / A6 FELSIC FORMATION,SEDIMENTARY ROCK,3810000000.0,3810000000.0,54.53,0.02,8.95,,,11.28,5.1,0.38,3.79,0.14,,3810000000.0,Isua
1984, [9064] NUTMAN A. P. (1984),samp. 167642,,NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN / A4 UPPER BANDED IRON FORMATION,SEDIMENTARY ROCK,3800000000.0,3800000000.0,45.76,0.02,0.1,35.46,15.71,1.11,2.11,0.09,,0.03,,3800000000.0,Isua
1984, [9064] NUTMAN A. P. (1984),samp. 175506,,NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN / A4 UPPER BANDED IRON FORMATION,SEDIMENTARY ROCK,3800000000.0,3800000000.0,73.11,0.19,8.56,0.07,0.51,0.07,11.98,0.03,0.13,0.02,,3800000000.0,Isua
1984, [9064] NUTMAN A. P. (1984),samp. 225928,,NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / ISUA AMPHIBOLITE UNIT,SEDIMENTARY ROCK,3800000000.0,3800000000.0,72.47,,0.24,11.22,11.22,2.38,1.59,0.28,0.01,0.02,,3800000000.0,Isua
