"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","ROCK TYPE","AGE (MIN.)","AGE (MAX.)","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)",
"1969"," [5626] VILJOEN M. J. (1969)","samp. 2","","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / THEESPRUIT FORMATION","SEDIMENTARY ROCK","","","90.04","0.05","6.71","0","0.01","0","0.01","2.31","0.12","",
"1987"," [11105] CROW C. (1987)","samp. BTF 14","","KAAPVAAL CRATON_ARCHEAN / WITWATERSRAND BASIN / DOMINION GROUP - RHENOSTERHOEK FORMATION","SEDIMENTARY ROCK","2800000000","2800000000","52.5","0.8","22.9","","1","8.26","2.63","0.05","3.42","0.09",
"2008"," [12604] ROUCHON V. (2008)","samp. MC08S","","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / MENDON FORMATION - MSAULI CHERT","SEDIMENTARY ROCK","3300000000","3400000000","98.18","0.01","0.43","","0.05","0.07","0","0.12","0.01","0",
"2008"," [12604] ROUCHON V. (2008)","samp. MC08","","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / MENDON FORMATION - MSAULI CHERT","SEDIMENTARY ROCK","3300000000","3400000000","89.4","0.17","4.15","0.05","0","0.25","0","1.41","0","0",
"2008"," [12604] ROUCHON V. (2008)","samp. MC09","","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / MENDON FORMATION - MSAULI CHERT","SEDIMENTARY ROCK","3300000000","3400000000","84.26","0.31","8.09","0.13","0","0.57","0","2.8","0","0",
"2008"," [12604] ROUCHON V. (2008)","samp. MC10","","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / MENDON FORMATION - MSAULI CHERT","SEDIMENTARY ROCK","3300000000","3400000000","88.88","0.22","5.29","","0","0.36","0","1.85","0","0",
"2008"," [12604] ROUCHON V. (2008)","samp. MC1 2B","","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / MENDON FORMATION - MSAULI CHERT","SEDIMENTARY ROCK","3300000000","3400000000","91.41","0.18","4.1","0.06","0","0.25","0","1.4","0","0",
"2008"," [12604] ROUCHON V. (2008)","samp. MC13A","","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / MENDON FORMATION - MSAULI CHERT","SEDIMENTARY ROCK","3300000000","3400000000","93.81","0.12","2.98","","0","0.15","0","1","0","0",
"2008"," [12604] ROUCHON V. (2008)","samp. MC15","","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / MENDON FORMATION - MSAULI CHERT","SEDIMENTARY ROCK","3300000000","3400000000","90.14","0.21","5.29","0.09","0","0.32","0","1.8","0","0",
"2008"," [12604] ROUCHON V. (2008)","samp. MC16","","KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / MENDON FORMATION - MSAULI CHERT","SEDIMENTARY ROCK","3300000000","3400000000","89.7","0.21","5.03","0.06","0.06","0.32","0","1.73","0","0",
