Year,CITATION,SAMPLE NAME,UNIQUE_ID,LOCATION,ROCK TYPE,AGE (MIN.),AGE (MAX.),SIO2(WT%),TIO2(WT%),AL2O3(WT%),FEO(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5,Unnamed: 18,Age_Median,Source
1987, [11105] CROW C. (1987),samp. BTF 14,,KAAPVAAL CRATON_ARCHEAN / WITWATERSRAND BASIN / DOMINION GROUP - RHENOSTERHOEK FORMATION,SEDIMENTARY ROCK,2800000000.0,2800000000.0,52.5,0.8,22.9,,1,8.26,2.63,0.05,3.42,0.09,,2800000000.0,Kaapvaal
2008, [12604] ROUCHON V. (2008),samp. MC08S,,KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / MENDON FORMATION - MSAULI CHERT,SEDIMENTARY ROCK,3300000000.0,3400000000.0,98.18,0.01,0.43,,0.05,0.07,0.0,0.12,0.01,0.0,,3350000000.0,Kaapvaal
2008, [12604] ROUCHON V. (2008),samp. MC08,,KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / MENDON FORMATION - MSAULI CHERT,SEDIMENTARY ROCK,3300000000.0,3400000000.0,89.4,0.17,4.15,0.05,0,0.25,0.0,1.41,0.0,0.0,,3350000000.0,Kaapvaal
2008, [12604] ROUCHON V. (2008),samp. MC09,,KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / MENDON FORMATION - MSAULI CHERT,SEDIMENTARY ROCK,3300000000.0,3400000000.0,84.26,0.31,8.09,0.13,0,0.57,0.0,2.8,0.0,0.0,,3350000000.0,Kaapvaal
2008, [12604] ROUCHON V. (2008),samp. MC10,,KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / MENDON FORMATION - MSAULI CHERT,SEDIMENTARY ROCK,3300000000.0,3400000000.0,88.88,0.22,5.29,,0,0.36,0.0,1.85,0.0,0.0,,3350000000.0,Kaapvaal
2008, [12604] ROUCHON V. (2008),samp. MC1 2B,,KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / MENDON FORMATION - MSAULI CHERT,SEDIMENTARY ROCK,3300000000.0,3400000000.0,91.41,0.18,4.1,0.06,0,0.25,0.0,1.4,0.0,0.0,,3350000000.0,Kaapvaal
2008, [12604] ROUCHON V. (2008),samp. MC13A,,KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / MENDON FORMATION - MSAULI CHERT,SEDIMENTARY ROCK,3300000000.0,3400000000.0,93.81,0.12,2.98,,0,0.15,0.0,1.0,0.0,0.0,,3350000000.0,Kaapvaal
2008, [12604] ROUCHON V. (2008),samp. MC15,,KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / MENDON FORMATION - MSAULI CHERT,SEDIMENTARY ROCK,3300000000.0,3400000000.0,90.14,0.21,5.29,0.09,0,0.32,0.0,1.8,0.0,0.0,,3350000000.0,Kaapvaal
2008, [12604] ROUCHON V. (2008),samp. MC16,,KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / MENDON FORMATION - MSAULI CHERT,SEDIMENTARY ROCK,3300000000.0,3400000000.0,89.7,0.21,5.03,0.06,0.06,0.32,0.0,1.73,0.0,0.0,,3350000000.0,Kaapvaal
2008, [12604] ROUCHON V. (2008),samp. MC17,,KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / MENDON FORMATION - MSAULI CHERT,SEDIMENTARY ROCK,3300000000.0,3400000000.0,89.54,0.19,4.88,0.05,0,0.28,0.0,1.67,0.0,0.0,,3350000000.0,Kaapvaal
2008, [12764] HOFMANN AXEL (2008),samp. H25,,KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / HOOGGENOEG COMPLEX (BUCK RIDGE VOLCANIC COMPLEX),SEDIMENTARY ROCK,3300000000.0,3500000000.0,97.04,0.03,0.2,,0.27,0.09,0.01,0.0,0.0,0.03,,3400000000.0,Kaapvaal
2008, [12764] HOFMANN AXEL (2008),samp. AH5,,KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / HOOGGENOEG COMPLEX (BUCK RIDGE VOLCANIC COMPLEX),SEDIMENTARY ROCK,3300000000.0,3500000000.0,97.71,0.05,0.23,,0.06,0.02,0.01,0.26,0.0,0.0,,3400000000.0,Kaapvaal
2008, [12764] HOFMANN AXEL (2008),samp. H1,,KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / HOOGGENOEG COMPLEX (BUCK RIDGE VOLCANIC COMPLEX),SEDIMENTARY ROCK,3300000000.0,3500000000.0,97.91,0.02,0.26,,0.53,0.07,0.01,0.21,0.0,0.0,,3400000000.0,Kaapvaal
