AGE (MIN.),AGE (MAX.),P2O5 (wt%) Isua,Isua Median Age
3779000000.0,3780000000.0,0.17,3779500000.0
3780000000.0,3780000000.0,0.17,3780000000.0
3780000000.0,3780000000.0,0.09,3780000000.0
3780000000.0,3780000000.0,0.19,3780000000.0
3810000000.0,3810000000.0,0.18,3810000000.0
3810000000.0,3810000000.0,0.15,3810000000.0
3810000000.0,3810000000.0,0.15,3810000000.0
3810000000.0,3810000000.0,0.14,3810000000.0
3810000000.0,3810000000.0,0.16,3810000000.0
3810000000.0,3810000000.0,0.25,3810000000.0
3810000000.0,3810000000.0,0.1,3810000000.0
3810000000.0,3810000000.0,0.11,3810000000.0
3810000000.0,3810000000.0,0.05,3810000000.0
3810000000.0,3810000000.0,0.06,3810000000.0
3810000000.0,3810000000.0,0.12,3810000000.0
3810000000.0,3810000000.0,0.07,3810000000.0
3810000000.0,3810000000.0,0.07,3810000000.0
3810000000.0,3810000000.0,0.1,3810000000.0
3810000000.0,3810000000.0,0.1,3810000000.0
3800000000.0,3800000000.0,0.03,3800000000.0
3800000000.0,3800000000.0,0.02,3800000000.0
3800000000.0,3800000000.0,0.02,3800000000.0
3690000000.0,3720000000.0,41.086,3705000000.0
3810000000.0,3720000000.0,41.064,3765000000.0
3810000000.0,3720000000.0,40.54,3765000000.0
3810000000.0,3720000000.0,41.324,3765000000.0
3810000000.0,3720000000.0,40.941,3765000000.0
3810000000.0,3720000000.0,40.566,3765000000.0
3810000000.0,3720000000.0,41.541,3765000000.0
3810000000.0,3720000000.0,42.185,3765000000.0
3810000000.0,3720000000.0,40.908,3765000000.0
3810000000.0,3720000000.0,42.273,3765000000.0
3810000000.0,3720000000.0,41.906,3765000000.0
3810000000.0,3720000000.0,39.921,3765000000.0
3810000000.0,3720000000.0,40.446,3765000000.0
3810000000.0,3720000000.0,42.52,3765000000.0
3810000000.0,3720000000.0,40.643,3765000000.0
3810000000.0,3720000000.0,40.342,3765000000.0
3810000000.0,3720000000.0,40.539,3765000000.0
3810000000.0,3720000000.0,40.972,3765000000.0
3810000000.0,3720000000.0,42.069,3765000000.0
3810000000.0,3720000000.0,42.354,3765000000.0
3810000000.0,3720000000.0,41.747,3765000000.0
3810000000.0,3720000000.0,41.493,3765000000.0
3810000000.0,3720000000.0,42.93,3765000000.0
3810000000.0,3720000000.0,42.891,3765000000.0
3810000000.0,3720000000.0,42.189,3765000000.0
3810000000.0,3720000000.0,42.289,3765000000.0
3810000000.0,3720000000.0,43.075,3765000000.0
3810000000.0,3720000000.0,42.592,3765000000.0
3810000000.0,3720000000.0,42.641,3765000000.0
3810000000.0,3720000000.0,42.324,3765000000.0
3810000000.0,3720000000.0,42.765,3765000000.0
3810000000.0,3720000000.0,41.727,3765000000.0
3810000000.0,3720000000.0,42.966,3765000000.0
3810000000.0,3720000000.0,41.927,3765000000.0
3810000000.0,3720000000.0,41.994,3765000000.0
3810000000.0,3720000000.0,42.939,3765000000.0
3810000000.0,3720000000.0,42.118,3765000000.0
3810000000.0,3720000000.0,41.74,3765000000.0
3810000000.0,3720000000.0,41.707,3765000000.0
3810000000.0,3720000000.0,41.743,3765000000.0
3810000000.0,3720000000.0,41.772,3765000000.0
3810000000.0,3720000000.0,42.16,3765000000.0
3810000000.0,3720000000.0,42.255,3765000000.0
3810000000.0,3720000000.0,41.248,3765000000.0
