AGE (MIN.),AGE (MAX.),P2O5 (wt%) Kaapvaal,Kaapvaal Median Age
2800000000.0,2800000000.0,0.09,2800000000.0
3300000000.0,3400000000.0,0.0,3350000000.0
3300000000.0,3400000000.0,0.0,3350000000.0
3300000000.0,3400000000.0,0.0,3350000000.0
3300000000.0,3400000000.0,0.0,3350000000.0
3300000000.0,3400000000.0,0.0,3350000000.0
3300000000.0,3400000000.0,0.0,3350000000.0
3300000000.0,3400000000.0,0.0,3350000000.0
3300000000.0,3400000000.0,0.0,3350000000.0
3300000000.0,3400000000.0,0.0,3350000000.0
3300000000.0,3500000000.0,0.03,3400000000.0
3300000000.0,3500000000.0,0.0,3400000000.0
3300000000.0,3500000000.0,0.0,3400000000.0
3300000000.0,3500000000.0,0.0,3400000000.0
3300000000.0,3500000000.0,0.07,3400000000.0
3300000000.0,3500000000.0,0.14,3400000000.0
3300000000.0,3500000000.0,0.07,3400000000.0
3300000000.0,3500000000.0,0.03,3400000000.0
3300000000.0,3500000000.0,0.0,3400000000.0
3300000000.0,3500000000.0,0.0,3400000000.0
3300000000.0,3500000000.0,0.03,3400000000.0
3300000000.0,3500000000.0,0.04,3400000000.0
3260000000.0,3330000000.0,0.03,3295000000.0
3260000000.0,3330000000.0,0.03,3295000000.0
