AGE (MIN.),AGE (MAX.),P2O5 (wt%) Pilbara,Pilbara Median Age
3430000000.0,3490000000.0,0.25,3460000000.0
3430000000.0,3490000000.0,0.12,3460000000.0
3430000000.0,3490000000.0,0.019,3460000000.0
3430000000.0,3490000000.0,0.022,3460000000.0
3430000000.0,3490000000.0,0.025,3460000000.0
3430000000.0,3490000000.0,0.017,3460000000.0
3430000000.0,3490000000.0,0.016,3460000000.0
3300000000.0,3400000000.0,0.0,3350000000.0
3300000000.0,3400000000.0,0.0,3350000000.0
3300000000.0,3400000000.0,0.03,3350000000.0
3300000000.0,3400000000.0,0.0,3350000000.0
3300000000.0,3400000000.0,0.0,3350000000.0
3300000000.0,3400000000.0,0.0,3350000000.0
3300000000.0,3400000000.0,0.0,3350000000.0
3300000000.0,3400000000.0,0.0,3350000000.0
3300000000.0,3400000000.0,0.0,3350000000.0
3300000000.0,3400000000.0,4.53,3350000000.0
3461000000.0,3471000000.0,0.04584,3466000000.0
3190000000.0,3190000000.0,0.0439,3190000000.0
2756000000.0,2766000000.0,0.04577,2761000000.0
