"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","ROCK TYPE","AGE (MIN.)","AGE (MAX.)","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","FE2O3(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","K2O(WT%)","P2O5(WT%)",
"1993"," [5843] CULLERS R. L. (1993)","samp. 34-2","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - SALGASH SUBGROUP/PANORAMA FORMA","SEDIMENTARY ROCK","3300000000","3500000000","84","0.23","10.9","","0.01","0.15","0.01","2.85","",
"1993"," [5843] CULLERS R. L. (1993)","samp. 8-14","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - SALGASH SUBGROUP/PANORAMA FORMA","SEDIMENTARY ROCK","3300000000","3500000000","83.5","0.16","9.52","","0.04","0.18","0.01","2.5","",
"1993"," [5843] CULLERS R. L. (1993)","samp. 8-34","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - SALGASH SUBGROUP/PANORAMA FORMA","SEDIMENTARY ROCK","3300000000","3500000000","85.6","0.17","7.32","","0.01","0.17","0.01","1.93","",
"1993"," [5843] CULLERS R. L. (1993)","samp. 8-26","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - SALGASH SUBGROUP/PANORAMA FORMA","SEDIMENTARY ROCK","3300000000","3500000000","91.7","0.12","4.24","","0.01","0.09","0.01","1.13","",
"1993"," [5843] CULLERS R. L. (1993)","samp. 33-3","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - SALGASH SUBGROUP/PANORAMA FORMA","SEDIMENTARY ROCK","3300000000","3500000000","91.4","0.19","5.43","","0.04","0.06","0.01","0.99","",
"1993"," [5843] CULLERS R. L. (1993)","samp. 33-7","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - SALGASH SUBGROUP/PANORAMA FORMA","SEDIMENTARY ROCK","3300000000","3500000000","83.1","0.26","10.4","","0.04","0.12","0.01","2.29","",
"1993"," [5843] CULLERS R. L. (1993)","samp. 15-16","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - SALGASH SUBGROUP/PANORAMA FORMA","SEDIMENTARY ROCK","3300000000","3500000000","92.3","0.13","4.57","","0.03","0","0.01","1.19","",
"1993"," [5843] CULLERS R. L. (1993)","samp. 16-5","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - SALGASH SUBGROUP/PANORAMA FORMA","SEDIMENTARY ROCK","3300000000","3500000000","82.3","0.1","11.69","","0.08","0.02","0.01","3.23","",
"1993"," [5843] CULLERS R. L. (1993)","samp. 8-7","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - SALGASH SUBGROUP/PANORAMA FORMA","SEDIMENTARY ROCK","3300000000","3500000000","83.4","0.16","9.52","","0.03","0.13","0.2","2.62","",
"1993"," [5843] CULLERS R. L. (1993)","samp. 7-5","","WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP - SALGASH SUBGROUP/PANORAMA FORMA","SEDIMENTARY ROCK","3300000000","3500000000","88.2","0.38","7.18","","0.04","0.08","0.01","1.38","",
